variant,model,selected_gamma,selected_train_oof_mae,base_train_oof_mae,MAE,RMSE,R2,MedianAbsError,P90AbsError,P95AbsError,W30,W60,MeanError_pred_minus_actual,UnderestimationRate,OverestimationRate,N,gain_vs_base,gain_vs_base_CI95,MAE_CI95,delta_vs_31_794666,delta_vs_32_028831,meta_json
pls_hs_word160_36_basic,sgd_huber,1.225,32.79849526575257,32.966712482938256,31.837715377524898,46.9493979387131,0.7551724791878928,21.752041835611323,69.64365322935058,92.14669026332568,0.6178231771750616,0.8615709756956675,-1.6543941604759607,0.46988376188798875,0.5301162381120113,2839,0.40192049713834593,"[0.29722475192447934, 0.5485262879617945]","[30.664768723465844, 33.02428341365225]",0.04304937752489835,-0.19111562247509895,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.8039814113214}"
pls_hs_word160_30_geom,sgd_huber,1.1,32.80484126532204,32.966712482938256,31.83859575235211,46.949017681567305,0.7551764450337333,21.46178387972087,69.16007289393171,92.83274364135762,0.615005283550546,0.8605142655864741,-1.4778769208185638,0.46882705177879536,0.5311729482212046,2839,0.40104012231112757,"[0.2611947342033864, 0.5261416206628061]","[30.63036143765463, 33.06769289081705]",0.04392975235210983,-0.19023524764788746,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.806463988702205}"
pls_hs_word160_20_basic,sgd_huber,1.5,32.784607205823356,32.966712482938256,31.83861919641901,46.98705121918492,0.754779619797054,21.49927003047256,69.21792175806397,92.07366380116721,0.6146530468474815,0.8615709756956675,-2.105690416421127,0.47657625924621344,0.5234237407537865,2839,0.40101667824423476,"[0.26923610707924983, 0.5288279013036736]","[30.81083030754623, 32.93228213017742]",0.043953196419010965,-0.19021180358098633,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.80704232592867}"
pls_hs_word160_24_geom,sgd_huber,1.225,32.79635693146478,32.966712482938256,31.839130073309448,46.989497505284454,0.7547540853228702,21.603002755277515,68.93883918311192,93.13530518972193,0.6171187037689327,0.8598097921803451,-1.867863737106039,0.4734061289186333,0.5265938710813667,2839,0.4005058013537955,"[0.2739704621084833, 0.5372547555149212]","[30.6943027676017, 33.18101277547506]",0.04446407330944879,-0.1897009266905485,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.80214002783358}"
pls_hs_word160_20_geom,sgd_huber,1.35,32.78587923274094,32.966712482938256,31.83914332403943,46.990773104948815,0.7547407700133117,21.501491082332862,69.32598901090796,91.93154511628305,0.615005283550546,0.8598097921803451,-1.9826621834169693,0.4779852060584713,0.5220147939415287,2839,0.4004925506238088,"[0.29472049150780955, 0.5508911451808355]","[30.568905434197735, 33.212236764553616]",0.0444773240394305,-0.1896876759605668,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.79764921080769}"
pls_hs_word160_32_delta,sgd_huber,1.3,32.841444148493444,32.966712482938256,31.840182600656775,47.04948120728293,0.7541275560754077,21.42172454133072,70.00528341069257,92.42177250161204,0.618879887284255,0.8601620288834096,-1.9343995860824483,0.47164494540331103,0.528355054596689,2839,0.39945327400646646,"[0.2977097779370235, 0.5193706007774689]","[30.749423191567313, 33.29136389219279]",0.0455166006567751,-0.1886483993432222,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.847159594465865}"
pls_raw_word160_18_geom,sgd_huber,1.375,32.813448330658204,32.966712482938256,31.84056106079326,47.10751986580488,0.7535205819703358,21.387230200735445,69.67833695944913,93.32987708005538,0.6238112011271575,0.861218738992603,-2.5728183580038184,0.4843254667136316,0.5156745332863685,2839,0.3990748138699873,"[0.2690606701816399, 0.5107759274234311]","[30.608967939489236, 33.079895162649755]",0.04589506079326,-0.1882699392067373,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.825555950482375}"
cca_hs_word160_40_basic,huber,0.6000000000000001,32.81571725877719,32.966712482938256,31.840875832808134,46.912748335361385,0.7555545641448326,21.565016686181224,69.30301784114985,92.02360679737868,0.6171187037689327,0.8594575554772808,-0.9684780389567962,0.45755547728073265,0.5424445227192674,2839,0.39876004185511044,"[0.2757656779524687, 0.5324958190252657]","[30.426172419850204, 32.987452727890116]",0.04620983280813462,-0.18795516719186267,"{""model"": ""huber"", ""residual_oof_mae"": 32.903776966894924}"
pls_hs_word160_26_geom,sgd_huber,1.175,32.7990989421946,32.966712482938256,31.840903654886155,46.9913577875914,0.754734666699944,21.429118469042294,68.87834599642228,92.95845552297165,0.6157097569566748,0.8608665022895385,-1.7075501381108389,0.4723494188094399,0.5276505811905601,2839,0.398732219777085,"[0.28643976947885585, 0.5338973197196992]","[30.694162880141622, 33.32440590395984]",0.04623765488615561,-0.18792734511384168,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.80370607622774}"
cca_hs_raw_word160_40_basic,huber,0.6000000000000001,32.832775827472176,32.966712482938256,31.84193928891745,46.95503266217957,0.755113708757551,21.34745170704634,69.50894661041278,92.7336564396087,0.6199365973934484,0.8608665022895385,-1.119050440157493,0.45755547728073265,0.5424445227192674,2839,0.3976965857457888,"[0.2829946185143376, 0.5128459139458534]","[30.615148248501477, 33.165599421643016]",0.047273288917452305,-0.186891711082545,"{""model"": ""huber"", ""residual_oof_mae"": 32.90802728299957}"
pls_raw_word160_32_delta,sgd_huber,1.4000000000000001,32.79499537131573,32.966712482938256,31.843328769807517,47.062666419770956,0.7539897294898874,21.525092343885802,69.70992211302031,92.66603317300572,0.6174709404719971,0.8629799225079253,-2.0222456566183844,0.4772807326523424,0.5227192673476576,2839,0.3963071048557233,"[0.27438467837143365, 0.5051950365692905]","[30.444164085954906, 33.22691779884878]",0.04866276980751749,-0.1855022301924798,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.80864830549944}"
